operated_at,geohash,avg_lightlux,latitude,longitude,si,gungu,dong,weight
2024-06-04 04:00:00,wy7vr22x,40.5,36.082,129.343,경상북도,포항시 북구,흥해읍,0.0026259369442736295
2024-06-08 22:00:00,wykj22rz,40.0,36.082,129.397,경상북도,포항시 북구,양덕동,0.002592697236118267
2024-06-24 21:00:00,wykj28sb,39.5,36.082,129.404,경상북도,포항시 북구,양덕동,0.0025594575279629045
2024-06-04 21:00:00,wykj20ev,40.0,36.083,129.38,경상북도,포항시 북구,장성동,0.002592697236118267
2024-06-12 02:00:00,wykj20xt,40.666666666666664,36.083,129.385,경상북도,포항시 북구,장성동,0.002637016846992083
2024-06-07 23:00:00,wykj228k,41.0,36.083,129.387,경상북도,포항시 북구,장성동,0.0026591766524289915
2024-06-24 21:00:00,wykj288r,39.333333333333336,36.083,129.397,경상북도,포항시 북구,양덕동,0.0025483776252444505
2024-06-02 20:00:00,wykj28ew,40.61111111111111,36.083,129.402,경상북도,포항시 북구,양덕동,0.0026333235460859316
2024-06-04 04:00:00,wy7vr2b6,39.0,36.084,129.343,경상북도,포항시 북구,흥해읍,0.002526217819807542
2024-06-26 04:00:00,wy7vr1pf,41.0,36.085,129.342,경상북도,포항시 북구,흥해읍,0.0026591766524289915
2024-06-24 21:00:00,wykj28br,40.666666666666664,36.085,129.397,경상북도,포항시 북구,양덕동,0.002637016846992083
2024-06-22 22:00:00,wykj21pv,39.857142857142854,36.086,129.386,경상북도,포항시 북구,장성동,0.002583200176645306
2024-06-19 22:00:00,wykj21se,39.333333333333336,36.088,129.381,경상북도,포항시 북구,장성동,0.0025483776252444505
2024-06-05 22:00:00,wykj238d,40.0,36.088,129.387,경상북도,포항시 북구,양덕동,0.002592697236118267
2024-06-04 23:00:00,wykj21yd,41.75,36.089,129.384,경상북도,포항시 북구,양덕동,0.0027090362146620353
2024-06-08 23:00:00,wykj21vp,41.0,36.09,129.382,경상북도,포항시 북구,양덕동,0.0026591766524289915
2024-06-26 04:00:00,wy7vr4pz,39.0,36.091,129.342,경상북도,포항시 북구,흥해읍,0.002526217819807542
2024-06-26 04:00:00,wy7vr4rb,39.0,36.092,129.342,경상북도,포항시 북구,흥해읍,0.002526217819807542
2024-06-26 04:00:00,wy7vr6by,41.0,36.095,129.343,경상북도,포항시 북구,흥해읍,0.0026591766524289915
2024-06-26 04:00:00,wy7vr714,39.0,36.096,129.344,경상북도,포항시 북구,흥해읍,0.002526217819807542
2024-06-26 04:00:00,wy7vr51j,39.5,36.097,129.333,경상북도,포항시 북구,흥해읍,0.0025594575279629045
2024-06-11 20:00:00,wy7vr5nq,41.666666666666664,36.097,129.34,경상북도,포항시 북구,흥해읍,0.002703496263302808
2024-06-04 04:00:00,wy7vr736,39.0,36.097,129.344,경상북도,포항시 북구,흥해읍,0.002526217819807542
2024-06-26 05:00:00,wy7vr5t2,39.0,36.098,129.338,경상북도,포항시 북구,흥해읍,0.002526217819807542
2024-06-26 05:00:00,wy7vr5s7,40.0,36.099,129.337,경상북도,포항시 북구,흥해읍,0.002592697236118267
2024-06-26 04:00:00,wy7vr5w9,40.0,36.099,129.34,경상북도,포항시 북구,흥해읍,0.002592697236118267
2024-06-26 04:00:00,wy7vr5cu,39.5,36.1,129.334,경상북도,포항시 북구,흥해읍,0.0025594575279629045
2024-06-26 04:00:00,wy7vr5yb,39.0,36.1,129.34,경상북도,포항시 북구,흥해읍,0.002526217819807542
2024-06-26 04:00:00,wy7vr5z5,39.0,36.1,129.341,경상북도,포항시 북구,흥해읍,0.002526217819807542
2024-06-26 04:00:00,wy7vr7bd,39.0,36.1,129.343,경상북도,포항시 북구,흥해읍,0.002526217819807542
2024-06-26 04:00:00,wy7vr7bj,40.0,36.101,129.342,경상북도,포항시 북구,흥해읍,0.002592697236118267
2024-06-04 22:00:00,wy7vru1c,40.0,36.101,129.367,경상북도,포항시 북구,흥해읍,0.002592697236118267
2024-06-04 04:00:00,wy7vrhrc,40.0,36.103,129.342,경상북도,포항시 북구,흥해읍,0.002592697236118267
2024-06-18 23:00:00,wykj2sk0,40.0,36.103,129.403,경상북도,포항시 북구,흥해읍,0.002592697236118267
2024-06-18 22:00:00,wykj2kec,41.5,36.104,129.391,경상북도,포항시 북구,흥해읍,0.002692416360584354
2024-06-26 22:00:00,wy7vrkc1,41.0,36.105,129.344,경상북도,포항시 북구,흥해읍,0.0026591766524289915
2024-06-26 22:00:00,wy7vrkc4,41.0,36.106,129.344,경상북도,포항시 북구,흥해읍,0.0026591766524289915
